1700380781 INFO  : This is an informational message
1700380781 WARN  : This is a warning message
1700380781 ERROR  : This is an error message
2023-12-06 12:57:00,652 [INFO ] : createLogger done.
2023-12-06 12:57:02,639 [DEBUG] : [AltTabWindowProc      | 361] 
2023-12-06 12:57:02,639 [INFO ] : [AltTabWindowProc      | 362] uMsg:   78, wParam: 1001, lParam: 622288948480
2023-12-06 12:57:02,639 [DEBUG] : [AltTabWindowProc      | 361] 
2023-12-06 12:57:02,639 [INFO ] : [AltTabWindowProc      | 362] uMsg:   78, wParam: 1001, lParam: 622288948480
2023-12-06 12:57:02,639 [DEBUG] : [ListViewSubclassProc  | 285] 
2023-12-06 12:57:02,639 [INFO ] : [ListViewSubclassProc  | 286] uMsg: 4289, wParam: 0, lParam: 0
2023-12-06 12:57:02,639 [DEBUG] : [ListViewSubclassProc  | 285] 
2023-12-06 12:57:02,639 [INFO ] : [ListViewSubclassProc  | 286] uMsg: 4098, wParam: 0, lParam: 0
2023-12-06 12:57:02,639 [DEBUG] : [ListViewSubclassProc  | 285] 
2023-12-06 12:57:02,639 [INFO ] : [ListViewSubclassProc  | 286] uMsg: 4212, wParam: 6, lParam: 622288952768
2023-12-06 12:57:02,639 [DEBUG] : [ListViewSubclassProc  | 285] 
2023-12-06 12:57:02,639 [INFO ] : [ListViewSubclassProc  | 286] uMsg: 4212, wParam: 6, lParam: 622288952896
2023-12-06 12:57:02,639 [DEBUG] : [ListViewSubclassProc  | 285] 
2023-12-06 12:57:02,639 [INFO ] : [ListViewSubclassProc  | 286] uMsg: 4173, wParam: 0, lParam: 622288952608
2023-12-06 12:57:02,639 [DEBUG] : [AltTabWindowProc      | 361] 
2023-12-06 12:57:02,639 [INFO ] : [AltTabWindowProc      | 362] uMsg:   78, wParam: 1001, lParam: 622288948688
2023-12-06 12:57:02,639 [DEBUG] : [ListViewSubclassProc  | 285] 
2023-12-06 12:57:02,639 [INFO ] : [ListViewSubclassProc  | 286] uMsg: 4289, wParam: 0, lParam: 0
2023-12-06 12:57:02,639 [DEBUG] : [ListViewSubclassProc  | 285] 
2023-12-06 12:57:02,639 [INFO ] : [ListViewSubclassProc  | 286] uMsg: 4172, wParam: 0, lParam: 622288952608
2023-12-06 12:57:02,639 [DEBUG] : [AltTabWindowProc      | 361] 
2023-12-06 12:57:02,639 [INFO ] : [AltTabWindowProc      | 362] uMsg:   78, wParam: 1001, lParam: 622288948480
2023-12-06 12:57:02,639 [DEBUG] : [AltTabWindowProc      | 361] 
2023-12-06 12:57:02,639 [INFO ] : [AltTabWindowProc      | 362] uMsg:   78, wParam: 1001, lParam: 622288948480
2023-12-06 12:57:02,639 [DEBUG] : [ListViewSubclassProc  | 285] 
2023-12-06 12:57:02,639 [INFO ] : [ListViewSubclassProc  | 286] uMsg: 4289, wParam: 0, lParam: 0
2023-12-06 12:57:02,639 [DEBUG] : [ListViewSubclassProc  | 285] 
2023-12-06 12:57:02,639 [INFO ] : [ListViewSubclassProc  | 286] uMsg: 4098, wParam: 0, lParam: 0
2023-12-06 12:57:02,639 [DEBUG] : [ListViewSubclassProc  | 285] 
2023-12-06 12:57:02,639 [INFO ] : [ListViewSubclassProc  | 286] uMsg: 4212, wParam: 7, lParam: 622288952768
2023-12-06 12:57:02,639 [DEBUG] : [ListViewSubclassProc  | 285] 
2023-12-06 12:57:02,640 [INFO ] : [ListViewSubclassProc  | 286] uMsg: 4212, wParam: 7, lParam: 622288952896
2023-12-06 12:57:02,640 [DEBUG] : [ListViewSubclassProc  | 285] 
2023-12-06 12:57:02,640 [INFO ] : [ListViewSubclassProc  | 286] uMsg: 4173, wParam: 0, lParam: 622288952608
2023-12-06 12:57:02,640 [DEBUG] : [AltTabWindowProc      | 361] 
2023-12-06 12:57:02,640 [INFO ] : [AltTabWindowProc      | 362] uMsg:   78, wParam: 1001, lParam: 622288948688
2023-12-06 12:57:02,640 [DEBUG] : [ListViewSubclassProc  | 285] 
2023-12-06 12:57:02,640 [INFO ] : [ListViewSubclassProc  | 286] uMsg: 4289, wParam: 0, lParam: 0
2023-12-06 12:57:02,640 [DEBUG] : [ListViewSubclassProc  | 285] 
2023-12-06 12:57:02,640 [INFO ] : [ListViewSubclassProc  | 286] uMsg: 4172, wParam: 0, lParam: 622288952608
2023-12-06 12:57:02,640 [DEBUG] : [AltTabWindowProc      | 361] 
2023-12-06 12:57:02,640 [INFO ] : [AltTabWindowProc      | 362] uMsg:   78, wParam: 1001, lParam: 622288948480
2023-12-06 12:57:02,640 [DEBUG] : [AltTabWindowProc      | 361] 
2023-12-06 12:57:02,640 [INFO ] : [AltTabWindowProc      | 362] uMsg:   78, wParam: 1001, lParam: 622288948480
2023-12-06 12:57:02,640 [DEBUG] : [ListViewSubclassProc  | 285] 
2023-12-06 12:57:02,640 [INFO ] : [ListViewSubclassProc  | 286] uMsg: 4289, wParam: 0, lParam: 0
2023-12-06 12:57:02,640 [DEBUG] : [ListViewSubclassProc  | 285] 
2023-12-06 12:57:02,640 [INFO ] : [ListViewSubclassProc  | 286] uMsg: 4098, wParam: 0, lParam: 0
2023-12-06 12:57:02,640 [DEBUG] : [ListViewSubclassProc  | 285] 
